place_name,reviewer_name,reviewer_link,reviewer_image,rating,date,text,photos,likes_count
"Chakhewa,Bhojpur",Pratik Nepal,https://www.google.com/maps/contrib/108860976921127437601/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWSe0ZvOPnYNkou5Qc27Dg0NobJEVIVFhdJsfks0I5U1Y5N9go_=w36-h36-p-rp-mo-br100,5,5 months ago,"26th july 2024 .
Absolutely Stunning with nature's beauty.","https://lh5.googleusercontent.com/p/AF1QipOTmnCiU9xbP1kit5ii0tAMIwrh-pqtuN3hF_rJ=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMdAY4u13FL4QaXobB8sLquiccKx1ESDj1i53EQ=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipORB9VsHKxI_m0mML_f6FpeGf_s0EwvWYTwuU_6=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMMhvD12XmPqc4ayT8Dk7QbuFieaIfkrPp4ANXj=w300-h225-p-k-no",0
"Chakhewa,Bhojpur",TSAMIR,https://www.google.com/maps/contrib/116517616060564214509/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjUhGyhqjmvWNbzYHtfCBdos9eb8oGmYXWF_WiFJwPr9_FAmFOUs=w36-h36-p-rp-mo-br100,5,2 years ago,"Mundum Trail : Absolutely gorgeous view and place even when I went during off season. An easy to medium difficulty level trekking trail that is connected to the culture and civilisation of Rai people, something unique to other western trekking routes. Pat to the Province 1’s government for this great effort.","https://lh5.googleusercontent.com/p/AF1QipMZwc58bkFSzTXp0i9s_jhp8MP2V5J_QD0f5NCJ=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOSOPwgPRtSJHlNrA8FZD7RZLZQqwogDixHYXMs=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMv7e6S3odufEr9OJSv9z7fEgX3g6lh-pUZM76a=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPlDpDkdq5gp0D1Ubo-rjGhmTHIwI5GD85MIUsY=w300-h225-p-k-no",7
"Chakhewa,Bhojpur",Divya Rai,https://www.google.com/maps/contrib/107891553759343419044/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWLqmj9QwfDjIO05nJBwXZoSK-XZsO33f3XKh-ARIKii4hJUFTM=w36-h36-p-rp-mo-br100,5,2 months ago,Superb. Fresh. lovely. nature.,https://lh5.googleusercontent.com/p/AF1QipMe2slP_n-WYNVQZiBT3T7viRJWwMUhmAIKfttY=w600-h450-p-k-no,0
"Chakhewa,Bhojpur",Aashish Rai,https://www.google.com/maps/contrib/103202169385629725162/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjVn_3-9Dwx5JtPP22HYPiqs-6qLrLXZCBuSvvK22UsbKxQXmp59Mg=w36-h36-p-rp-mo-ba6-br100,5,3 years ago,"Kartik 01 2078.

It was freaking cold.

We were planning for temke but due to sudden change in weather we planned to stay here at Chakhewa.

The weather was so cold. It was raining and windy too.

Do visit once if you are planning for temke.","https://lh5.googleusercontent.com/p/AF1QipOYgvwDTFSO3rwUOohETG1pYI_YCIq6vHUKlzCL=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPe2snLqc_oyqAW5i6q8Damp2QtAzFqm15mH556=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOPDOAXoxe4jZ5WjeTX3n7o3ey8zEkEDf9NDedI=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMIsL6KU75PnkVvdmDND-W9CePAjxarRFBHLj8n=w300-h225-p-k-no",7
"Chakhewa,Bhojpur",AB Shai,https://www.google.com/maps/contrib/100107204163216192384/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjUMNkAan36l1L6jMeuKEuvFZnJt3qAYDkdgqoJuTt6bFsu8LOM=w36-h36-p-rp-mo-ba5-br100,4,a year ago,"Nice view point , local run homestay","https://lh5.googleusercontent.com/p/AF1QipPp_pdSfmRmf5v47n1_wau-yrwiRU2iH2VF-h-2=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPPjVtMzuQqU63B3nE7eHzZiaPfR9ZNjlSpgUR_=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMoR0Qs5KeyET7g5aZ4VjSmnjYtoucs9tGCP-Gc=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNmASiTeTfnSidedZdYrbtZdyjb-f9l1jzB0zRo=w300-h225-p-k-no",0
"Chakhewa,Bhojpur",Bikramaditya Niroula,https://www.google.com/maps/contrib/110622839660279045284/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjUq970olQviAMDx30Ysi7BgTZd2ej99wS9TaB-l6uKuLg9MNWyRkg=w36-h36-p-rp-mo-ba5-br100,5,8 months ago,"Place is really great. Chilled weather you need to carry woolen or winter jackets while we visited here in summer. We only Carried windcheater jackets, felt really cold. There is no crowd and suggest  to built no more hotels, restaurants and other ugly concrete hangouts. Right now it's perfect, it's what it is. Accept what it is. It's peace here, your anxiety and other tiredness gets dissappear here.

5 stars out of 5 !!

Don't forget to inhale  ""W""",,0
"Chakhewa,Bhojpur",SampurnA RAI (XRS3),https://www.google.com/maps/contrib/116881219105730403554/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjV4Pce9czTVFEYwF460BazesT7mYhVIlVP-CKAdhFj4gdiiOtgD=w36-h36-p-rp-mo-ba4-br100,4,2 weeks ago,beautiful,"https://lh5.googleusercontent.com/p/AF1QipMyzxn5bF9yZdOokstPWSVlON0GjlQpYOxNe2C-=w300-h450-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOLaMaOZEX-kQIK7gZxhcPMcE_zqrPPhqe-Pc5W=w300-h450-p-k-no",0
"Chakhewa,Bhojpur",Karki Narayan,https://www.google.com/maps/contrib/103453444431470950866/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocL4K-hl34TegECXyruMNXyC_OF-Fe6kZg9vHYxg2p0IUbejTw=w36-h36-p-rp-mo-br100,4,3 months ago,Such a wonderful place.. loved it 💞,,0
Pangboche Monastery,Boy Anupong,https://www.google.com/maps/contrib/115545109698586973885/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWr4zAQWMrGTrgXc4-9DWZyY7vGEuh-LUYA7Hzh2b9BDCRbZMYU=w36-h36-p-rp-mo-ba6-br100,5,9 months ago,I really love this village! Silence and good environment! You can climbing a small hill in this village for seeing high angle view of the village with beautiful view of Mt.Everest - Lhotse - Ama Dablam here if the weather is clear in good condition.,"https://lh5.googleusercontent.com/p/AF1QipPzht5BcDrwtrrFAakyVkqcsqW92UHXhabE3LIN=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOrfPe9xNc4Eh-TT5WVr_yPbLvXGgXiR3dUPgFG=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPY58gbUTNyrjfl6_mI2hurKf_xrpC7ObO_rlB5=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOcpctoFXWmRrPUkHOyzijpHvsAi0mkbebcMkLc=w300-h225-p-k-no",0
Pangboche Monastery,Diana luxuryretreathawaii Vacation Rental Hawaii,https://www.google.com/maps/contrib/112399510495398721791/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjVhQK2Z8j1y9xzJ5bMeadePPjWXFNATAXVdH8CyVcFvARdKIFQh=w36-h36-p-rp-mo-ba5-br100,5,6 years ago,"The best experience of my life! We were on the way back from Everest Base Camp trek, and stopped overnight in Pangboche. We found out that there was a Buddhist Festival at the monastery in town. It was amazing!  We met the Lama Rinpoche and we stated the home made milk tea they offered. The best experience of my life.","https://lh5.googleusercontent.com/p/AF1QipMolYmTV2Vp74N9cIbhQojoHAj96MNowddBAtm7=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOBMF2T_2gESuzjvzV0bP4VTesAZW7-dS1uTAdr=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMrrRsGyTdYR1oW_pfIW2YOLBk6Dp1AiJVP5ZaG=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipM30ED3OKKMzOsuE7OnK_dlkIxMJw0JIrS6Q0l7=w300-h225-p-k-no",3
